Province_State,Country_Region,population
,Afghanistan,34940837
,Albania,3020209
,Algeria,41318142
,Andorra,76177
,Angola,29784193
,Antigua and Barbuda,102012
,Argentina,44938712
,Armenia,2930450
Australian Capital Territory,Australia,396857
New South Wales,Australia,7480228
Northern Territory,Australia,245562
Queensland,Australia,4703193
South Australia,Australia,1676653
Tasmania,Australia,509965
Victoria,Australia,5926624
Western Australia,Australia,2474410
,Austria,8809212
,Azerbaijan,10000000
,Bahamas,395361
,Bahrain,1492584
,Bangladesh,164669751
,Barbados,285719
,Belarus,9408400
,Belgium,11431406
,Benin,11175692
,Bhutan,807610
,Bolivia,11051600
,Bosnia and Herzegovina,3507017
,Brazil,208494900
,Brunei,428697
,Bulgaria,7000039
,Burkina Faso,19193382
,Cabo Verde,546388
,Cambodia,16005373
,Cameroon,24053727
Alberta,Canada,4067175
British Columbia,Canada,4841078
Grand Princess,Canada,
Manitoba,Canada,1343371
New Brunswick,Canada,760868
Newfoundland and Labrador,Canada,528430
Nova Scotia,Canada,957600
Ontario,Canada,14279196
Prince Edward Island,Canada,152784
Quebec,Canada,8484965
Saskatchewan,Canada,1168057
,Central African Republic,4659080
,Chad,15477751
,Chile,18054726
Anhui,China,59500510
Beijing,China,21710000
Chongqing,China,7990000
Fujian,China,36894216
Gansu,China,25575254
Guangdong,China,113460000
Guangxi,China,46026629
Guizhou,China,35800000
Hainan,China,9171300
Hebei,China,71854202
Heilongjiang,China,38312224
Henan,China,96050000
Hong Kong,China,7500700
Hubei,China,58160000
Hunan,China,65683722
Inner Mongolia,China,24706321
Jiangsu,China,78659903
Jiangxi,China,44567475
Jilin,China,27462297
Liaoning,China,43746323
Macau,China,566375
Ningxia,China,6301350
Qinghai,China,5930000
Shaanxi,China,37327378
Shandong,China,95793065
Shanghai,China,23390000
Shanxi,China,36500000
Sichuan,China,81100000
Tianjin,China,13245000
Tibet,China,
Xinjiang,China,21813334
Yunnan,China,47420000
Zhejiang,China,56570000
,Colombia,49065615
,Congo (Brazzaville),5260750
,Congo (Kinshasa),86790567
,Costa Rica,4905769
,Cote d'Ivoire,24294750
,Croatia,4105493
,Diamond Princess,
,Cuba,11484636
,Cyprus,1141166
,Czechia,10649800
Faroe Islands,Denmark,49854
Greenland,Denmark,56081
,Denmark,5827463
,Djibouti,956985
,Dominican Republic,10403761
,Ecuador,16624858
,Egypt,94798827
,El Salvador,6420746
,Equatorial Guinea,1267689
,Eritrea,3497000
,Estonia,1324820
,Eswatini,1367254
,Ethiopia,104957438
,Fiji,905502
,Finland,5501043
French Guiana,France,268700
French Polynesia,France,275918
Guadeloupe,France,390253
Mayotte,France,256518
New Caledonia,France,278500
Reunion,France,853659
Saint Barthelemy,France,9625
St Martin,France,37132
Martinique,France,372594
,France,66628000
,Gabon,2025137
,Gambia,2100568
,Georgia,3717100
,Germany,83149300
,Ghana,26908262
,Greece,10760421
,Guatemala,17263239
,Guinea,12717176
,Guyana,777859
,Haiti,10981229
,Holy See,
,Honduras,9265067
,Hungary,9772756
,Iceland,357050
,India,1349217956
,Indonesia,263991379
,Iran,79966230
,Iraq,38274618
,Ireland,4761865
,Israel,9093000
,Italy,60317000
,Jamaica,2890299
,Japan,126785797
,Jordan,10428241
,Kazakhstan,18276500
,Kenya,48468138
,"Korea, South",51466201
,Kuwait,4600000
,Kyrgyzstan,6201500
,Latvia,1909000
,Lebanon,6100075
,Liberia,4731906
,Liechtenstein,37922
,Lithuania,2790842
,Luxembourg,626108
,Madagascar,25570895
,Malaysia,31624264
,Maldives,436330
,Malta,465292
,Mauritania,4420184
,Mauritius,1264613
,Mexico,130526945
,Moldova,2550900
,Monaco,38695
,Mongolia,3075647
,Montenegro,622359
,Morocco,36029138
,Namibia,2533794
,Nepal,29400000
Aruba,Netherlands,102911
Curacao,Netherlands,160337
Sint Maarten,Netherlands,37132
,Netherlands,17282163
,New Zealand,4942500
,Nicaragua,6217581
,Niger,21477348
,Nigeria,190886311
,North Macedonia,2075301
,Norway,5367580
,Oman,4829480
,Pakistan,197015955
,Panama,4098587
,Papua New Guinea,8251162
,Paraguay,6811297
,Peru,29381884
,Philippines,104918090
,Poland,38433600
,Portugal,10600000
,Qatar,2639211
,Romania,19586539
,Russia,146804372
,Rwanda,12208407
,Saint Lucia,178844
,Saint Vincent and the Grenadines,109897
,San Marino,33400
,Saudi Arabia,33000000
,Senegal,15850567
,Serbia,7022268
,Seychelles,95843
,Singapore,5888926
,Slovakia,5439892
,Slovenia,2066880
,Somalia,11031386
,South Africa,57725600
,Spain,46528024
,Sri Lanka,21444000
,Sudan,40533330
,Suriname,563402
,Sweden,10327589
,Switzerland,8466017
,Taiwan*,
,Tanzania,57310019
,Thailand,65931550
,Togo,7797694
,Trinidad and Tobago,1369125
,Tunisia,11565204
,Turkey,82003882
,Uganda,42862958
,Ukraine,42558328
,United Arab Emirates,9400145
Bermuda,United Kingdom,65024
Cayman Islands,United Kingdom,58435
Channel Islands,United Kingdom,163857
Gibraltar,United Kingdom,33140
Isle of Man,United Kingdom,85888
Montserrat,United Kingdom,5215
,United Kingdom,66022273
,Uruguay,3456750
,US,325145963
,Uzbekistan,32387200
,Venezuela,28515829
,Vietnam,94660000
,Zambia,17094130
,Zimbabwe,16529904
Diamond Princess,Canada,
,Dominica,73925
,Grenada,107825
,Mozambique,29668834
,Syria,18269868
,Timor-Leste,1296311
,Belize,374681
Recovered,Canada,
,Laos,6858160
,Libya,6678567
,West Bank and Gaza,4550000
,Guinea-Bissau,1861283
,Mali,18541980
,Saint Kitts and Nevis,55345
Northwest Territories,Canada,44718
Yukon,Canada,38669
,Kosovo,1883018
,Burma,53370609
Anguilla,United Kingdom,16086
British Virgin Islands,United Kingdom,31758
Turks and Caicos Islands,United Kingdom,33098
,MS Zaandam,
,Botswana,2291661
,Burundi,10864245
,Sierra Leone,7557212
"Bonaire, Sint Eustatius and Saba",Netherlands,
,Malawi,18622104
